id,annotation
MCD6041253.1,hypothetical protein
MCD7737945.1,hypothetical protein
MYF28459.1,hypothetical protein
WP_168920948.1,exodeoxyribonuclease VII large subunit
WP_026306873.1,DoxX family membrane protein
KAG8422625.1,hypothetical protein J3459_010192
WP_104914417.1,phage tail protein
GFY09346.1,protein FAM186A
MBW8369305.1,hypothetical protein
WP_018518335.1,phage tail tape measure protein
KXN82939.1,hypothetical protein AN958_02022
WP_204897625.1,hypothetical protein
XP_042923437.1,uncharacterized protein CHLRE_06g257700v5
KAF2366288.1,hypothetical protein FHG87_002941
CAD7259209.1,unnamed protein product
WP_116100146.1,MULTISPECIES: hypothetical protein
CAE7618113.1,ANK1
HGX18822.1,hypothetical protein
XP_046176381.1,uncharacterized protein LOC124008843
XP_046176381.1,uncharacterized protein LOC124008843
MBC7774458.1,DUF4157 domain-containing protein
NEO32866.1,hypothetical protein
QCD90250.1,hypothetical protein DEO72_LG4g1205
XP_001626162.1,myosin-2 heavy chain
KAA0168015.1,hypothetical protein FNF31_00514
KAA0168015.1,hypothetical protein FNF31_00514
GBG84010.1,hypothetical protein CBR_g37884
EHU9602275.1,hypothetical protein
MCB5231022.1,ankyrin repeat domain-containing protein
RKF62627.1,hypothetical protein OnM2_032073
KAF8381462.1,hypothetical protein PRIPAC_70604
WP_220193423.1,hypothetical protein
KAI0229559.1,hypothetical protein LSAT2_020011
MBW2692922.1,ATP-binding protein
XP_011494038.1,PREDICTED: uncharacterized protein LOC105359215
QZI86829.1,hypothetical protein MYOV056v2_p0055
WP_071545937.1,DUF697 domain-containing protein
XP_013928938.1,PREDICTED: inverted formin-2-like
WP_229396540.1,hypothetical protein
MCC7205066.1,hypothetical protein
MCC7205066.1,hypothetical protein
MCC7205066.1,hypothetical protein
WP_187384717.1,hypothetical protein
XP_033731982.1,E3 ubiquitin-protein ligase RBBP6-like isoform X1
WP_157474354.1,hypothetical protein
KAF1795828.1,Late embryogenesis abundant protein LEA
KAF1795828.1,Late embryogenesis abundant protein LEA
MBW4621397.1,apolipoprotein A1/A4/E family protein
CAG2211503.1,tatD
CAE7040097.1,ASB3
RWW77226.1,hypothetical protein BHE74_00014628
MBD3400827.1,hypothetical protein
UJR25203.1,hypothetical protein I4U23_006555
KAF1962778.1,hypothetical protein CC80DRAFT_530700
WP_240623317.1,hypothetical protein
GGM44245.1,hypothetical protein GCM10007977_052280
HHM88556.1,hypothetical protein
KYO17716.1,apolipoprotein A-IV precursor
MBP5231649.1,hypothetical protein
MAE74846.1,hypothetical protein
MAE74846.1,hypothetical protein
CAE7247183.1,unnamed protein product
GBP48004.1,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2
WP_132649244.1,hypothetical protein
XP_041354695.1,centrosomal protein of 164 kDa-like isoform X1
WP_218841178.1,IniB N-terminal domain-containing protein
MBE5946703.1,hypothetical protein
KAF9478940.1,hypothetical protein BDN70DRAFT_717234
ATV38680.1,hypothetical protein CUB95_09135
MCB9105325.1,hypothetical protein
MBI3268235.1,HEAT repeat domain-containing protein
MBI3268235.1,HEAT repeat domain-containing protein
MBI3268235.1,HEAT repeat domain-containing protein
MBQ9252633.1,hypothetical protein
RUM90103.1,YicC family protein
KPA17264.1,hypothetical protein MHK_002536
AVX53304.1,putative ORF1
WP_159254080.1,hypothetical protein
HBI63015.1,hypothetical protein
WP_165218174.1,hypothetical protein
MBM4084365.1,DNA recombination protein RmuC
WP_165227137.1,ankyrin repeat domain-containing protein
XP_019958182.1,PREDICTED: unconventional myosin-XV-like
XP_019958182.1,PREDICTED: unconventional myosin-XV-like
MBF0236968.1,anti-phage defense ZorAB system ZorA
MBF0236968.1,anti-phage defense ZorAB system ZorA
MBA3646711.1,hypothetical protein
WP_072743047.1,hypothetical protein
WP_072743047.1,hypothetical protein
MBI2342790.1,hypothetical protein
MBR6534301.1,hypothetical protein
DAK21151.1,TPA: MAG TPA: minor tail protein
DAK21151.1,TPA: MAG TPA: minor tail protein
AKJ72566.1,putative tape measure protein
WP_211101196.1,hypothetical protein
XP_045589688.1,uncharacterized protein LOC123751645
KAI0356803.1,hypothetical protein OH77DRAFT_1519756
WP_013835754.1,Wzz/FepE/Etk N-terminal domain-containing protein
MBC8590605.1,phage tail tape measure protein
QYW02125.1,tape measure protein
KAF4472307.1,hypothetical protein FALBO_779
WP_190460579.1,hypothetical protein
WP_206870851.1,phage tail tape measure protein
KAA8893974.1,ankyrin repeat-containing domain protein
MBI5540495.1,AsmA family protein
MBP7153840.1,STAS domain-containing protein
MBA2124240.1,hypothetical protein
MCD8211045.1,hypothetical protein
GKT50516.1,ankyrin repeat domain-containing protein 50
